Sex, MaritalStatus, Age, Education, Occupation, YearsInSf, DualIncome, HouseholdMembers, Under18, HouseholdStatus, TypeOfHome, EthnicClass, Language, Income
1,1,1,5,8,5,2,3,0,2,1,3,2,3
1,5,1,1,3,5,1,NaN,0,3,1,7,1,1
1,5,1,1,6,5,1,4,2,3,1,7,1,1
2,1,4,4,1,5,2,2,0,1,1,7,1,9
2,1,6,6,5,5,3,2,0,1,1,7,1,8
2,3,5,4,1,2,1,1,0,1,1,7,1,1
1,1,3,4,3,5,2,3,1,1,1,7,1,8
1,3,4,3,3,5,1,1,0,1,1,8,1,4
2,1,3,5,1,4,2,3,1,1,2,7,1,8
1,1,7,4,8,5,2,4,2,1,1,7,1,7
2,1,5,4,5,NaN,1,4,1,2,3,2,NaN,3
1,5,1,2,6,5,1,5,3,3,1,5,1,1
1,5,1,2,6,5,1,5,3,3,1,7,1,1
2,1,4,4,5,4,3,4,2,1,1,2,3,7
1,5,1,1,6,5,1,3,0,3,1,7,1,1
2,1,6,5,1,NaN,2,2,0,1,1,7,1,9
2,3,4,2,1,5,1,2,0,3,1,7,1,3
2,1,4,4,5,5,3,4,2,1,1,7,1,9
2,1,3,4,5,2,3,4,2,1,2,7,1,8
1,5,1,2,4,5,1,5,3,3,1,7,1,1
2,1,5,3,5,NaN,3,3,1,1,1,7,1,6
2,1,6,3,8,NaN,3,NaN,0,2,3,7,3,2
2,5,3,5,1,5,1,4,0,2,1,3,3,4
2,1,7,3,5,NaN,3,2,2,1,1,7,1,3
2,2,2,5,1,4,1,2,0,2,3,7,1,8
1,1,3,5,6,2,3,3,0,2,1,7,1,5
2,NaN,4,5,5,NaN,3,5,3,1,1,7,1,6
1,1,6,5,1,5,2,2,0,1,1,7,1,9
2,1,2,2,5,3,3,4,2,2,3,7,1,2
2,2,4,4,3,NaN,1,2,0,2,1,7,1,2
2,1,4,6,5,2,3,4,1,1,1,7,1,9
1,1,3,4,1,3,2,2,0,2,3,2,1,4
1,5,2,4,6,4,1,2,0,2,3,7,1,3
2,1,2,4,2,5,2,2,0,2,3,7,1,5
1,3,6,3,8,NaN,1,1,0,1,2,7,1,5
2,5,2,4,6,3,1,4,0,3,1,7,1,9
2,1,6,4,4,5,2,2,0,1,1,7,1,8
1,5,2,4,6,5,1,3,0,3,1,7,1,9
1,5,2,4,6,5,1,4,0,1,1,5,1,9
2,1,6,4,5,2,1,2,0,1,5,7,3,7
2,1,6,3,2,5,2,2,0,1,1,7,1,8
1,1,7,3,8,5,3,2,0,1,4,7,1,3
2,1,6,4,8,5,3,2,0,1,2,7,1,7
2,1,7,4,8,NaN,3,2,0,1,1,7,1,5
2,3,7,3,8,5,1,2,0,1,1,7,1,1
2,1,5,6,1,5,2,4,2,1,1,7,1,9
2,NaN,4,4,1,5,1,NaN,0,2,NaN,7,NaN,4
2,1,5,6,1,2,2,3,0,1,1,4,3,8
2,1,4,3,5,5,3,2,0,1,1,8,2,7
2,5,1,3,9,4,1,3,1,3,1,7,1,5
1,5,2,3,6,5,1,2,0,3,1,7,1,6
1,5,1,2,2,5,1,3,1,3,1,7,1,8
1,5,1,2,6,5,1,5,3,3,1,7,1,1
2,5,1,1,1,2,1,7,5,2,2,8,NaN,7
2,5,2,3,1,5,1,2,0,3,3,7,1,1
2,1,6,4,1,5,2,6,0,1,1,1,1,7
2,1,5,4,5,5,3,4,0,1,1,7,1,6
1,1,3,6,2,2,2,2,0,2,3,NaN,1,8
1,5,2,2,6,5,1,5,1,3,1,7,1,9
2,2,3,3,4,2,1,3,1,2,3,1,1,4
2,NaN,7,3,8,5,1,1,0,2,3,7,1,5
2,1,7,4,8,5,3,2,0,1,1,7,1,5
2,3,3,4,4,NaN,1,3,1,2,2,7,1,2
2,1,2,5,2,2,2,2,0,2,1,7,1,3
1,5,5,6,1,1,1,1,0,2,2,7,1,6
2,4,7,3,8,2,1,2,0,NaN,2,7,1,7
2,3,7,5,8,NaN,1,NaN,0,2,2,7,NaN,7
2,3,4,4,4,5,1,NaN,0,1,1,7,1,7
2,5,1,1,6,5,1,NaN,0,3,1,7,NaN,1
2,1,3,5,5,3,3,3,1,1,1,7,1,9
2,2,5,4,1,5,1,2,0,1,1,7,NaN,8
2,2,5,4,1,5,1,2,0,1,1,7,1,8
2,5,1,2,6,NaN,1,5,1,3,1,7,1,1
2,1,4,5,4,3,2,4,2,1,1,7,1,8
2,NaN,4,3,NaN,NaN,3,4,2,1,1,7,NaN,7
2,3,3,4,5,5,1,4,3,2,2,7,1,6
1,1,6,4,8,5,3,NaN,0,NaN,NaN,NaN,NaN,8
2,1,5,6,4,5,3,3,0,1,1,7,1,4
2,1,5,5,1,5,2,2,0,1,1,7,1,9
1,5,1,1,9,5,1,5,3,3,1,5,1,1
2,1,5,4,1,4,2,5,1,1,1,7,1,8
2,1,6,4,1,5,3,2,0,1,1,7,1,8
2,5,1,2,6,NaN,1,8,6,3,NaN,7,1,1
2,1,5,6,5,2,3,3,0,1,1,7,1,9
2,5,1,2,6,3,1,5,3,3,3,2,3,1
1,1,4,4,1,4,2,6,2,2,1,7,1,7
1,1,4,6,1,3,2,5,3,1,1,7,1,9
1,1,7,3,1,5,3,2,0,1,1,7,1,7
1,1,7,6,1,5,3,3,0,1,1,7,1,7
1,5,2,4,1,NaN,1,7,0,2,2,7,1,4
2,3,5,4,1,4,1,2,0,1,1,7,1,7
2,5,3,6,6,5,1,7,1,3,1,7,1,1
1,1,7,3,8,5,3,3,0,1,1,7,1,7
1,5,2,4,9,2,1,NaN,0,2,3,3,1,1
1,1,7,3,8,5,3,2,0,1,1,7,1,5
2,1,4,6,1,3,2,4,2,1,1,7,1,9
2,5,1,2,4,3,1,2,1,3,NaN,7,1,2
2,5,1,2,4,5,1,3,2,3,3,5,1,2
1,1,6,4,8,5,3,2,0,1,1,7,1,8
2,1,4,4,5,5,3,4,0,1,1,7,1,8
2,1,4,5,1,5,2,2,0,1,1,7,1,9
2,1,3,5,1,3,2,2,0,1,5,7,1,9
2,1,4,6,1,5,2,3,1,1,1,7,1,9
1,1,4,6,1,5,2,2,0,1,1,5,1,9
1,5,1,2,6,3,1,6,3,3,5,7,1,1
2,1,2,3,1,5,2,2,0,2,3,7,1,2
1,1,7,6,1,5,3,3,3,1,1,7,1,9
2,1,4,3,1,5,3,4,2,1,1,7,1,6
2,1,7,4,8,NaN,3,2,0,NaN,5,7,1,3
2,3,7,3,8,NaN,1,1,0,NaN,3,2,1,4
2,3,6,5,1,5,1,2,0,1,1,7,1,3
2,4,7,4,4,5,1,1,0,1,1,7,1,1
1,5,1,2,6,4,1,3,0,3,2,5,1,1
2,1,3,3,5,5,3,4,2,1,1,7,1,6
1,5,4,4,2,5,1,1,0,2,3,7,1,5
2,4,5,4,8,2,1,2,0,2,3,7,1,7
1,5,3,4,1,2,1,2,0,1,1,7,1,7
1,1,7,6,NaN,5,3,2,0,1,1,7,1,7
2,1,7,4,8,5,3,2,0,1,NaN,7,1,5
2,5,2,4,6,4,1,NaN,0,2,2,7,1,1
1,1,7,4,8,5,3,2,0,1,1,7,1,5
2,5,3,4,3,5,1,1,0,2,3,7,1,2
2,5,3,3,3,4,1,3,1,2,3,7,1,2
2,4,7,5,8,5,1,1,1,2,3,7,1,4
2,1,6,5,2,5,2,2,0,1,1,7,1,8
2,1,4,6,5,4,3,5,3,1,1,7,3,8
1,1,7,5,8,5,3,2,0,1,1,7,1,4
2,5,3,4,4,5,1,1,0,2,3,7,1,5
2,5,2,4,6,5,1,4,0,3,1,7,1,4
2,5,2,3,2,3,1,3,1,3,1,7,1,9
2,3,7,6,1,5,1,1,0,2,1,7,1,3
1,5,3,4,1,5,1,2,0,1,1,6,1,8
1,5,3,5,1,3,1,2,0,2,2,7,1,7
1,1,3,5,1,4,2,3,1,2,3,7,3,7
1,5,3,4,1,5,1,1,0,2,2,7,1,7
2,1,3,5,1,5,2,2,0,1,1,7,1,8
2,5,1,2,6,4,1,3,1,3,1,2,1,1
2,1,5,4,1,5,2,2,0,1,1,7,1,8
2,5,3,5,1,5,1,2,0,1,1,5,1,6
1,1,6,6,1,5,2,2,0,1,1,7,1,8
1,1,7,3,8,NaN,3,NaN,0,1,1,7,1,3
1,2,3,4,1,5,2,4,0,2,1,7,1,4
2,1,4,4,5,5,3,5,3,1,1,7,1,9
2,1,5,3,4,5,2,3,0,1,1,7,1,6
2,1,6,5,5,5,3,2,0,1,NaN,7,1,9
2,1,5,3,1,5,3,3,1,1,1,7,1,1
1,1,4,6,1,5,2,2,0,1,2,7,1,8
1,5,2,5,1,5,1,3,0,2,3,2,1,5
2,3,3,4,4,5,1,4,1,1,4,5,1,5
1,5,2,5,4,3,1,1,0,3,1,7,1,2
2,1,5,2,5,5,3,4,1,NaN,3,7,1,6
1,1,4,1,2,5,2,3,1,2,3,5,1,6
2,5,2,3,6,5,1,3,0,3,1,7,1,8
2,5,2,3,6,5,1,6,0,2,5,7,1,8
2,5,1,NaN,6,3,1,4,2,3,1,5,1,1
2,3,4,6,1,5,1,1,0,1,1,7,1,7
2,1,3,5,1,4,2,3,1,1,1,7,1,9
2,5,3,4,1,5,1,1,1,1,1,7,1,5
1,1,7,5,8,5,3,2,0,1,1,7,1,8
1,1,5,5,1,5,2,2,0,1,1,7,NaN,9
1,5,1,1,6,5,1,3,1,3,2,5,1,1
1,1,3,4,NaN,5,2,2,0,2,2,7,1,4
1,1,6,4,1,5,2,3,0,1,1,7,1,8
1,3,5,3,3,4,1,4,1,2,1,7,1,7
1,1,3,4,1,4,2,4,2,2,1,7,1,9
1,1,6,5,1,5,2,2,0,1,1,7,1,9
1,1,6,6,1,5,2,3,1,1,1,7,1,8
2,2,3,4,3,5,1,2,0,2,3,7,1,6
1,1,3,4,3,5,2,2,0,1,1,7,1,7
1,1,6,6,8,5,3,2,0,1,1,7,1,9
1,5,2,3,1,5,1,3,0,2,2,7,1,8
1,1,5,NaN,2,5,2,4,2,1,1,7,1,6
1,1,5,6,1,5,3,2,1,1,1,3,1,8
1,5,1,2,4,5,1,4,2,3,1,7,1,9
1,1,6,5,1,5,3,2,0,1,1,7,1,8
1,1,7,4,8,5,2,2,0,1,1,7,1,9
1,1,6,4,1,5,2,2,0,2,1,7,1,9
1,5,3,4,6,5,1,4,0,2,1,7,1,4
1,5,2,4,3,5,1,3,0,3,1,7,1,9
1,1,5,6,1,5,1,3,0,1,1,3,1,8
1,5,3,6,1,5,1,2,0,2,3,7,1,5
1,1,5,3,8,5,2,3,0,1,1,7,1,7
2,1,7,4,8,5,3,3,0,1,1,7,1,9
1,1,4,6,1,5,2,3,1,1,1,7,1,9
1,1,7,5,8,5,3,2,0,1,1,7,1,5
2,3,6,3,4,NaN,1,1,0,1,5,7,1,6
1,1,6,4,1,5,2,3,1,1,1,7,1,8
1,1,4,5,2,5,2,4,2,1,1,7,1,9
1,1,4,6,1,5,2,2,0,1,1,7,1,9
1,1,4,6,1,5,2,4,2,1,1,7,1,8
1,1,3,6,1,5,2,2,0,1,1,1,1,9
1,2,2,3,3,2,1,4,0,2,3,7,1,4
1,1,4,5,1,5,2,4,1,1,1,7,1,9
1,1,6,5,8,5,2,4,0,1,1,7,1,7
2,1,3,3,1,3,3,4,2,2,3,7,1,7
1,1,3,4,1,4,2,4,2,1,1,7,1,8
1,1,5,4,1,5,3,2,0,1,1,7,1,8
1,3,4,6,9,3,1,1,0,2,1,7,1,1
1,3,7,2,8,5,1,1,0,1,1,7,1,2
2,3,5,3,4,5,1,NaN,0,1,1,5,1,4
1,1,7,3,8,5,3,2,0,1,1,7,1,6
2,5,2,4,1,5,1,6,1,3,1,7,1,3
1,1,7,4,8,NaN,3,2,0,1,2,7,1,4
2,4,7,3,4,5,1,1,0,1,1,7,1,4
1,5,2,4,1,5,1,1,0,2,1,7,1,5
2,4,4,3,4,NaN,1,5,3,2,3,7,1,2
2,3,6,4,5,5,1,4,0,1,1,7,1,6
2,1,3,4,2,5,2,3,1,2,3,7,1,6
2,3,4,6,1,5,1,1,0,1,2,7,1,8
1,1,3,3,3,5,2,4,2,2,5,7,1,6
2,5,7,6,8,5,1,2,0,1,1,7,1,1
2,1,5,4,5,5,2,5,1,1,1,7,1,8
2,1,5,4,5,4,2,4,2,2,2,3,1,7
2,1,3,4,5,4,3,5,0,2,1,7,1,5
2,1,4,5,2,5,2,4,1,1,1,7,1,9
2,5,3,5,1,5,1,1,0,2,2,7,1,6
2,1,6,4,8,5,3,3,0,1,1,7,1,4
2,1,3,5,1,5,2,4,2,1,1,7,1,8
2,3,5,4,2,NaN,1,1,0,2,NaN,7,1,4
1,5,2,4,6,5,1,3,0,3,1,7,1,3
1,1,4,4,1,5,3,4,2,1,1,7,1,7
2,5,2,4,6,5,1,NaN,0,3,1,7,1,8
1,1,7,4,8,5,3,NaN,0,1,1,7,1,6
2,1,7,6,8,NaN,3,2,0,1,2,7,1,8
2,1,3,5,1,5,2,4,2,1,1,8,3,9
1,5,2,4,2,5,1,3,0,3,1,7,1,9
1,5,2,2,4,2,1,4,0,3,1,7,1,9
1,5,2,2,6,2,1,4,0,3,1,7,1,1
1,5,3,5,1,5,1,2,0,1,1,7,1,8
1,1,3,5,1,5,2,2,0,1,1,7,1,8
2,5,2,4,6,3,1,5,2,1,1,7,1,1
1,5,2,3,6,4,1,3,0,2,1,7,1,5
1,5,2,3,7,3,1,NaN,0,3,1,7,1,1
2,1,5,4,1,5,2,2,0,1,1,7,1,9
2,1,6,5,7,5,3,2,0,1,1,7,1,4
1,5,5,5,1,5,1,1,0,2,3,7,1,3
1,1,5,6,1,5,3,2,0,1,1,7,1,9
2,4,7,4,1,5,1,NaN,0,1,1,7,1,1
1,1,7,5,8,5,3,2,0,1,1,7,1,7
1,5,1,2,2,4,1,4,2,3,1,7,3,1
1,5,1,3,6,5,1,4,2,3,1,7,1,1
2,2,3,2,4,5,1,2,0,1,2,7,1,7
2,1,6,3,5,NaN,3,2,0,1,1,7,1,5
1,5,3,4,1,3,1,1,0,1,1,7,1,8
2,3,5,4,NaN,5,1,1,0,1,NaN,7,1,6
2,2,3,5,1,5,1,2,0,1,1,7,1,6
2,1,4,4,1,5,2,2,0,1,1,7,1,8
1,1,5,4,1,5,3,3,0,1,1,1,1,8
1,1,6,6,8,5,3,2,0,1,5,7,1,8
2,5,7,6,8,5,1,2,0,1,1,7,NaN,5
1,5,3,6,1,5,1,1,0,2,3,7,1,2
2,5,3,4,8,5,1,1,0,2,5,5,1,1
2,3,3,5,1,5,1,2,0,2,3,7,1,3
2,5,3,5,2,5,1,1,0,2,3,7,1,5
1,1,6,4,2,5,2,2,0,1,1,7,NaN,7
1,5,3,4,4,5,1,1,0,2,3,7,1,3
2,5,4,4,1,5,1,2,0,1,1,7,1,8
2,5,1,2,6,NaN,1,NaN,3,3,1,1,1,1
2,5,1,3,6,2,1,4,2,3,1,7,1,1
2,1,3,5,4,5,2,2,0,1,1,7,1,8
2,1,6,4,1,5,2,2,0,1,1,7,1,8
2,1,6,4,5,5,3,4,0,1,1,7,1,8
2,1,4,5,1,4,2,4,2,1,1,7,1,8
2,5,3,4,1,NaN,1,3,0,1,1,7,1,6
1,3,5,6,1,5,1,NaN,1,1,1,7,1,8
1,5,2,4,6,5,1,3,0,1,1,7,1,9
1,1,5,5,1,NaN,2,4,2,1,1,2,1,8
2,3,5,4,1,5,1,1,0,2,3,7,1,6
1,1,3,6,1,2,2,2,0,2,3,7,1,6
2,1,2,3,6,1,3,2,0,2,3,7,1,6
1,5,4,6,1,4,1,1,0,1,5,7,1,8
2,3,5,6,4,5,1,1,0,2,NaN,7,1,6
1,2,4,4,1,5,2,2,0,2,3,7,1,8
1,1,3,6,1,2,3,2,0,2,1,2,3,6
2,5,3,6,4,5,1,2,0,2,1,2,1,2
2,5,2,4,5,5,1,5,0,3,1,7,1,8
2,5,1,2,6,5,1,4,2,3,1,5,1,1
2,1,3,3,4,5,2,4,2,1,1,7,1,8
2,1,4,6,1,NaN,2,4,2,1,1,7,1,9
1,2,2,4,2,5,1,2,0,NaN,3,5,1,1
2,2,2,4,6,5,1,2,0,2,3,7,1,1
2,1,4,4,5,5,3,4,2,1,1,7,1,8
1,5,2,4,3,5,1,3,0,3,1,7,1,2
1,1,4,3,1,5,3,2,0,1,NaN,7,1,9
2,2,2,4,5,5,1,3,1,2,1,7,1,2
2,3,7,5,4,5,1,1,0,1,NaN,7,1,7
2,5,3,6,9,5,1,1,0,2,3,7,1,4
1,5,1,2,2,NaN,1,NaN,0,3,1,7,1,2
1,5,1,2,6,5,1,3,1,3,1,7,1,1
2,1,2,3,5,2,3,4,2,2,3,7,1,2
2,3,3,3,6,5,1,5,4,2,3,7,1,2
2,5,4,3,2,2,1,3,2,2,3,7,1,1
2,1,4,4,5,5,3,3,1,1,1,7,1,6
1,1,6,1,3,5,3,4,1,1,1,3,1,3
2,5,2,2,9,1,1,9,3,2,3,7,1,1
1,5,6,4,8,5,1,1,0,2,3,7,1,1
1,3,6,5,7,5,1,NaN,0,2,NaN,7,1,7
2,5,2,5,6,5,1,2,0,2,1,7,1,1
2,3,3,4,6,4,1,3,2,2,3,7,1,1
2,5,2,4,6,NaN,1,3,0,3,1,1,1,1
2,1,2,5,1,3,2,2,0,2,3,7,1,4
1,1,2,4,3,3,2,2,0,2,3,7,1,4
2,4,7,2,5,NaN,1,NaN,0,NaN,3,7,1,1
2,1,2,4,6,2,3,2,0,2,3,7,1,4
2,1,4,6,1,5,2,3,1,1,1,7,1,7
2,1,6,5,8,5,3,2,0,1,1,7,1,8
1,1,7,3,8,5,3,2,0,1,1,7,1,8
1,2,3,5,4,1,1,6,4,2,1,7,1,4
1,1,7,5,1,5,3,2,0,1,1,7,1,8
1,3,3,5,1,4,1,1,0,1,1,7,1,7
2,1,4,4,5,5,2,5,3,1,1,2,1,6
2,4,6,6,8,5,1,1,0,1,NaN,7,1,6
1,1,3,4,1,5,2,2,0,2,3,7,1,6
1,1,4,6,1,5,3,4,2,1,1,7,1,9
1,1,5,4,3,5,3,2,0,1,1,7,1,6
1,1,5,4,1,5,3,NaN,0,1,1,1,1,9
2,1,3,5,2,4,2,4,2,1,2,3,1,7
2,1,4,4,1,3,2,2,0,1,1,7,1,9
1,1,4,4,1,NaN,3,3,1,1,1,7,1,9
1,4,7,3,7,NaN,1,1,0,NaN,4,7,1,5
2,5,5,6,1,4,1,1,0,2,3,7,1,3
2,4,6,3,8,5,1,1,0,1,1,7,1,1
1,5,5,4,8,NaN,1,2,0,2,1,7,1,1
2,1,4,5,4,NaN,2,4,2,1,1,7,1,8
1,5,2,4,6,NaN,1,3,0,3,1,7,1,8
1,5,2,5,3,NaN,1,2,0,2,1,7,1,3
2,3,5,3,5,5,1,2,0,1,1,7,1,3
2,5,4,5,1,4,1,1,0,2,3,7,1,4
1,2,7,6,9,5,1,2,0,1,1,7,1,6
1,1,2,3,3,NaN,2,3,1,2,3,7,1,3
1,3,3,4,1,5,1,4,2,2,1,7,1,3
1,5,1,3,2,1,1,4,0,2,3,1,1,2
2,2,2,3,5,NaN,1,7,5,2,3,5,1,5
2,2,3,2,3,NaN,2,7,5,2,3,5,1,5
2,5,1,2,6,1,1,4,3,3,5,7,1,1
2,3,3,5,NaN,NaN,1,2,1,2,2,7,1,4
1,5,2,4,6,NaN,1,4,0,3,1,7,1,7
2,5,2,4,6,NaN,1,4,0,3,1,7,1,1
2,5,2,4,6,1,1,4,0,2,3,7,1,8
2,2,1,3,5,5,3,4,1,2,1,7,1,3
1,5,1,2,6,5,1,4,2,3,1,7,1,1
2,1,3,4,1,5,2,3,1,1,1,7,1,8
2,5,1,2,6,5,1,4,2,3,1,7,1,1
1,5,1,2,6,4,1,3,2,3,1,7,1,1
2,3,5,6,1,5,1,1,0,1,1,7,1,4
2,4,5,4,1,NaN,1,2,0,1,1,7,1,6
1,5,3,4,3,NaN,1,1,0,2,3,7,1,3
2,3,3,3,3,5,1,1,0,2,5,7,1,2
2,1,4,6,1,5,2,3,1,1,1,7,1,9
1,1,3,4,1,5,2,2,0,1,1,8,1,8
2,1,6,3,8,5,3,2,0,1,1,7,1,6
2,5,3,4,2,5,1,1,0,2,3,7,1,2
1,NaN,2,4,7,NaN,1,1,0,2,3,7,3,2
1,5,2,4,3,2,1,8,2,3,1,7,1,3
1,5,3,3,1,NaN,1,2,0,2,3,7,1,6
1,5,3,4,3,5,1,4,0,2,1,7,1,1
1,5,1,2,2,5,1,3,1,3,1,7,1,8
1,5,3,3,6,2,1,3,0,2,3,3,1,2
2,5,2,3,4,2,1,2,0,2,1,7,1,3
2,3,3,3,5,2,1,2,1,3,3,7,1,1
1,5,4,4,3,5,1,1,0,2,4,7,1,6
2,1,5,5,1,4,2,2,0,1,1,7,1,7
1,1,5,3,8,NaN,3,2,0,1,1,7,1,9
1,5,1,2,2,5,1,2,1,3,3,7,1,1
1,1,7,1,8,5,3,2,0,NaN,4,7,1,7
2,5,2,2,6,5,1,3,0,3,1,NaN,1,9
1,1,4,6,1,5,2,4,2,1,1,7,1,8
2,1,4,4,1,NaN,2,4,0,1,1,8,NaN,8
2,5,1,2,9,2,1,4,3,3,1,7,1,1
1,1,7,3,2,5,3,2,0,2,1,7,1,3
2,1,6,3,5,5,3,2,0,1,4,7,1,7
1,5,3,4,2,5,1,3,0,3,3,7,1,4
2,5,2,3,2,NaN,1,1,0,2,1,7,1,2
1,1,7,4,8,5,3,2,0,1,1,7,1,6
1,1,7,5,8,5,3,2,0,1,1,7,1,6
2,4,7,3,8,2,1,1,0,1,4,7,1,5
2,1,5,5,NaN,5,2,3,1,1,1,7,1,6
1,1,7,4,1,NaN,3,2,0,1,1,7,1,5
1,5,3,4,NaN,2,1,NaN,0,1,4,7,1,9
2,5,2,3,2,5,1,4,1,2,1,7,1,4
2,5,1,1,1,1,1,3,1,3,3,7,1,3
2,5,1,1,6,NaN,1,NaN,0,3,3,7,1,1
2,1,6,3,5,5,3,2,0,1,1,7,1,2
2,1,6,6,2,5,2,2,0,2,3,7,1,6
1,3,6,6,8,5,1,2,0,2,1,7,1,7
2,1,2,3,6,5,2,4,2,2,3,7,NaN,4
2,3,4,4,4,NaN,1,4,0,2,2,7,1,4
2,5,1,2,6,2,1,5,3,3,1,7,1,1
2,2,4,5,2,NaN,1,3,0,1,2,7,NaN,6
1,1,7,6,8,5,3,2,0,1,1,7,1,4
2,5,1,1,NaN,5,1,4,2,3,1,7,1,1
1,2,2,4,6,NaN,1,2,0,2,3,7,1,2
1,5,3,2,9,5,1,2,0,2,1,5,2,1
1,2,2,4,6,NaN,1,2,0,2,3,7,1,2
2,NaN,6,5,1,1,3,2,0,1,1,7,1,3
2,4,6,3,1,5,1,2,0,1,1,7,1,4
2,4,7,4,8,5,1,3,0,1,1,7,1,3
2,5,2,3,2,5,1,4,1,3,1,7,1,1
1,4,7,3,8,5,1,1,0,1,1,7,1,9
2,5,2,2,2,2,1,2,0,2,3,7,1,1
1,5,6,5,1,5,1,2,1,2,1,7,1,5
2,1,6,4,8,NaN,3,2,0,1,1,7,1,6
1,1,6,5,1,5,3,2,0,1,1,7,1,8
1,1,4,5,1,5,2,2,0,1,NaN,7,1,5
1,5,4,5,1,5,1,1,0,1,1,7,1,7
2,5,2,4,2,2,1,3,0,2,3,7,1,2
2,1,7,4,5,5,3,2,0,1,1,7,1,8
1,2,4,5,1,2,2,2,0,2,3,7,1,6
2,1,6,4,1,5,3,2,0,1,NaN,7,1,9
1,1,3,4,1,5,2,3,1,1,1,7,1,8
2,1,3,3,4,NaN,2,3,1,1,1,7,1,8
2,3,4,6,1,2,1,1,0,1,1,7,1,6
2,1,3,4,5,NaN,3,3,1,1,1,7,1,8
2,3,3,4,1,NaN,1,2,1,2,1,7,1,6
2,2,5,5,1,4,2,4,1,1,1,7,1,4
1,3,4,4,1,5,1,2,0,1,1,7,1,8
2,2,3,6,1,2,1,2,0,2,5,7,1,8
2,4,7,5,8,NaN,1,NaN,0,1,1,7,1,6
2,1,3,3,1,NaN,2,2,0,1,1,7,1,3
1,4,7,4,8,5,1,1,0,1,4,7,NaN,1
1,5,6,3,8,NaN,1,1,0,1,4,7,1,2
2,3,4,6,1,4,1,2,0,1,1,7,1,3
2,5,2,2,9,NaN,1,NaN,0,2,3,7,1,1
2,3,3,6,1,4,1,1,0,2,3,7,1,4
2,5,5,3,8,NaN,1,1,0,2,3,1,1,1
1,3,3,6,1,5,1,1,0,1,1,1,1,9
2,1,6,6,1,5,3,2,0,1,5,7,1,7
1,1,5,5,1,NaN,2,3,1,1,1,7,1,8
2,5,2,4,1,NaN,1,2,0,2,3,7,1,6
